ID;hist_plan;data;grupa;podgrupa;sprzet;klient;region;ilosc;cena_hurt;obrot
9949;hist;022006;FS;sprzet grzejny;kuchnie;PARTNER;Zachod;844;923;629841,07
9950;hist;022006;FS;zmywarki;zmywarki 45;;Others;3;1640;1440,44
9951;hist;022006;FS;zmywarki;zmywarki 60;;Others;1;1415;730,00
9952;hist;022006;FS;zmywarki;zmywarki 60;;Południe;20;1415;25286,12
9953;hist;022006;FS;zmywarki;zmywarki 60;;Sieci;9;1415;9917,56
9954;hist;022006;FS;zmywarki;zmywarki 60;;Wschod;2;1415;1931,03
9955;hist;022006;FS;zmywarki;zmywarki 60;AVANS;Poludnie;5;1415;6523,88
9956;hist;022006;FS;zmywarki;zmywarki 60;AVANS;Wschod;3;1415;3538,86
9957;hist;022006;FS;zmywarki;zmywarki 60;AVANS;Zachod;5;1415;6094,88
9958;hist;022006;FS;zmywarki;zmywarki 60;G7;Polnoc;5;1415;5859,92
9959;hist;022006;FS;zmywarki;zmywarki 60;MEDIA MARKT;Sieci;6;1415;8091,41
9960;hist;022006;FS;zmywarki;zmywarki 60;NEONET;Zachod;32;1415;38305,87
9961;hist;022006;FS;zmywarki;zmywarki 60;OKAY;Sieci;17;1415;17217,41
9962;hist;022006;FS;zmywarki;zmywarki 60;PARTNER;Zachod;5;1415;5816,60
9963;hist;032006;BI;chlodnictwo;chlodziarki;;Meblarze;4;964;3519,24
9964;hist;032006;BI;chlodnictwo;chlodziarki;;Others;4;964;1620,45
9965;hist;032006;BI;chlodnictwo;chlodziarki;;Polnoc;6;964;5732,71
9966;hist;032006;BI;chlodnictwo;chlodziarki;;Poludnie;24;964;20007,30
9967;hist;032006;BI;chlodnictwo;chlodziarki;;Sieci;56;964;19732,47
9968;hist;032006;BI;chlodnictwo;chlodziarki;;Wschod;1;964;730,78
9969;hist;032006;BI;chlodnictwo;chlodziarki;AVANS;Poludnie;10;964;8428,38
9970;hist;032006;BI;chlodnictwo;chlodziarki;AVANS;Zachod;18;964;16180,82
9971;hist;032006;BI;chlodnictwo;chlodziarki;BRW-SA;Meblarze;4;964;3338,62
9972;hist;032006;BI;chlodnictwo;chlodziarki;G7;Polnoc;4;964;3730,22
9973;hist;032006;BI;chlodnictwo;chlodziarki;G7;Poludnie;6;964;3514,69
9974;hist;032006;BI;chlodnictwo;chlodziarki;G7;Zachod;2;964;1241,07
9975;hist;032006;BI;chlodnictwo;chlodziarki;MEDIA EXPERT;Poludnie;2;964;1563,22
9976;hist;032006;BI;chlodnictwo;chlodziarki;MEDIA MARKT;Sieci;3;964;2231,25
9977;hist;032006;BI;chlodnictwo;chlodziarki;NEONET;Zachod;11;964;8390,44
9978;hist;032006;BI;chlodnictwo;chlodziarki;PARTNER;Zachod;4;964;3330,69
9979;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;;Meblarze;1;1164;1040,37
9980;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;;Others;9;1164;1017,27
9981;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;;Sieci;29;1164;7076,79
9982;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;AVANS;Wschod;1;1164;1044,75
9983;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;BRW-SA;Meblarze;1;1164;1058,00
9984;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Poludnie;2;1164;1936,10
9985;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Sieci;1;1164;1016,86
9986;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;G7;Zachod;1;1164;1034,49
9987;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;MEDIA EXPERT;Polnoc;1;1164;1049,07
9988;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;MEDIA MARKT;Sieci;4;1164;4028,76
9989;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Poludnie;1;1164;1058,00
9990;hist;032006;BI;chlodnictwo;lodowki dwudrzwiowe;PARTNER;Zachód;1;1164;846,40
9991;hist;032006;BI;chlodnictwo;lodowki kombi;;Meblarze;71;1355;61416,69
9992;hist;032006;BI;chlodnictwo;lodowki kombi;;Others;3;1355;3352,43
9993;hist;032006;BI;chlodnictwo;lodowki kombi;;Polnoc;5;1355;5451,18
9994;hist;032006;BI;chlodnictwo;lodowki kombi;;Poludnie;28;1355;30090,38
9995;hist;032006;BI;chlodnictwo;lodowki kombi;;Sieci;60;1355;55910,25
9996;hist;032006;BI;chlodnictwo;lodowki kombi;;Wschod;2;1355;2437,26
9997;hist;032006;BI;chlodnictwo;lodowki kombi;;Zachod;4;1355;3998,04
9998;hist;032006;BI;chlodnictwo;lodowki kombi;AVANS;Poludnie;16;1355;18314,61
9999;hist;032006;BI;chlodnictwo;lodowki kombi;AVANS;Zachod;25;1355;27177,34
10000;hist;032006;BI;chlodnictwo;lodowki kombi;BRW-SA;Meblarze;18;1355;20848,58
10001;hist;032006;BI;chlodnictwo;lodowki kombi;G7;Polnoc;6;1355;7260,84
10002;hist;032006;BI;chlodnictwo;lodowki kombi;G7;Poludnie;47;1355;50257,70
10003;hist;032006;BI;chlodnictwo;lodowki kombi;G7;Zachod;15;1355;15659,60
10004;hist;032006;BI;chlodnictwo;lodowki kombi;MEDIA EXPERT;Polnoc;1;1355;983,01
10005;hist;032006;BI;chlodnictwo;lodowki kombi;MEDIA EXPERT;Poludnie;1;1355;1049,00
10006;hist;032006;BI;chlodnictwo;lodowki kombi;MEDIA MARKT;Sieci;28;1355;33015,38
10007;hist;032006;BI;chlodnictwo;lodowki kombi;NEONET;Zachod;19;1355;21203,77
10008;hist;032006;BI;chlodnictwo;lodowki kombi;PARTNER;Poludnie;40;1355;43699,41
10009;hist;032006;BI;chlodnictwo;lodowki kombi;PARTNER;Wschod;4;1355;4352,81
10010;hist;032006;BI;chlodnictwo;lodowki kombi;PARTNER;Zachod;40;1355;43144,20
10011;hist;032006;BI;chlodnictwo;zamrazarki;;Sieci;1;969;450,43
10012;hist;032006;BI;chlodnictwo;zamrazarki;G7;Polnoc;1;969;801,74
10013;hist;032006;BI;chlodnictwo;zamrazarki;G7;Poludnie;1;969;763,26
10014;hist;032006;BI;chlodnictwo;zamrazarki;MEDIA MARKT;Sieci;3;969;2250,59
10015;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;;Meblarze;3;1141;2441,50
10016;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;;Południe;2;1141;1325,96
10017;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;;Sieci;4;1141;3300,24
10018;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;AVANS;Wschod;1;1141;1014,87
10019;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;G7;Poludnie;1;1141;799,36
10020;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Poludnie;5;1141;5066,81
10021;hist;032006;BI;mikrofalowki;mikrofalowki elektronicznie;PARTNER;Zachod;1;1141;822,20
10022;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;;Meblarze;7;940;5604,25
10023;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;;Sieci;3;940;2038,11
10024;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;;Wschod;1;940;846,28
10025;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;AVANS;Zachod;2;940;1562,36
10026;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;BRW-SA;Meblarze;3;940;2520,03
10027;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Polnoc;4;940;3253,48
10028;hist;032006;BI;mikrofalowki;mikrofalowki mechanicznie;G7;Poludnie;2;940;1316,44
